VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.0,2021-07-01 10:00:48,2021-07-01 10:20:38,N,1.0,242,116,1.0,0.0,24.2,0.0,0.5,0.0,0.0,,0.3,25.0,1.0,1.0,0.0
2.0,2021-07-01 10:09:40,2021-07-01 10:21:17,N,1.0,174,112,1.0,17.34,59.0,0.0,0.5,0.0,0.0,,0.3,59.8,1.0,1.0,0.0
2.0,2021-07-01 10:13:45,2021-07-01 10:30:08,N,1.0,42,238,1.0,3.08,13.5,0.0,0.5,5.12,0.0,,0.3,22.17,1.0,1.0,2.75
2.0,2021-07-01 10:45:59,2021-07-01 11:06:46,N,1.0,166,212,1.0,6.23,21.0,0.0,0.5,0.0,0.0,,0.3,21.8,2.0,1.0,0.0
2.0,2021-07-01 10:22:25,2021-07-01 10:31:29,N,1.0,75,42,1.0,1.89,8.5,0.0,0.5,0.08,0.0,,0.3,9.38,1.0,1.0,0.0
2.0,2021-07-01 10:20:48,2021-07-01 10:27:47,N,1.0,74,75,1.0,1.38,6.5,0.0,0.5,2.0,0.0,,0.3,9.3,1.0,1.0,0.0
2.0,2021-07-01 10:05:04,2021-07-01 10:23:09,N,1.0,74,141,1.0,2.83,13.5,0.0,0.5,2.56,0.0,,0.3,19.61,1.0,1.0,2.75
2.0,2021-07-01 10:44:51,2021-07-01 10:52:08,N,1.0,95,95,6.0,0.82,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
1.0,2021-07-01 10:35:20,2021-07-01 10:51:21,N,1.0,127,241,1.0,2.5,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,1.0,0.0
2.0,2021-07-01 10:39:36,2021-07-01 10:56:27,N,1.0,166,48,1.0,3.37,14.0,0.0,0.5,0.0,0.0,,0.3,17.55,1.0,1.0,2.75
2.0,2021-07-01 10:07:10,2021-07-01 10:18:07,N,1.0,244,116,1.0,1.77,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0
2.0,2021-07-01 10:37:05,2021-07-01 11:16:20,N,1.0,95,49,1.0,9.52,32.5,0.0,0.5,2.0,0.0,,0.3,35.3,1.0,1.0,0.0
2.0,2021-07-01 09:26:19,2021-07-01 09:46:20,N,1.0,69,20,5.0,3.23,15.0,0.0,0.5,3.16,0.0,,0.3,18.96,1.0,1.0,0.0
2.0,2021-07-01 10:15:00,2021-07-01 10:20:18,N,1.0,41,41,1.0,0.93,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
1.0,2021-07-01 10:08:32,2021-07-01 11:02:19,N,1.0,61,117,1.0,0.0,30.2,0.0,0.5,0.0,2.45,,0.3,33.45,1.0,1.0,0.0
2.0,2021-07-01 10:54:36,2021-07-01 11:03:16,N,1.0,75,151,1.0,1.53,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
2.0,2021-07-01 10:48:54,2021-07-01 10:58:56,N,1.0,42,152,1.0,1.43,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
2.0,2021-07-01 11:01:16,2021-07-01 11:19:16,N,1.0,152,43,1.0,3.5,15.0,0.0,0.5,3.0,0.0,,0.3,21.55,1.0,1.0,2.75
2.0,2021-07-01 10:11:08,2021-07-01 10:11:10,N,1.0,264,264,1.0,0.0,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
2.0,2021-07-01 10:13:03,2021-07-01 10:16:34,N,1.0,74,74,1.0,0.69,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2021-07-01 10:21:25,2021-07-01 10:32:05,N,1.0,74,140,1.0,3.28,11.5,0.0,0.5,0.0,0.0,,0.3,15.05,2.0,1.0,2.75
2.0,2021-07-01 10:29:12,2021-07-01 10:34:12,N,1.0,41,42,1.0,1.03,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,1.0,0.0
2.0,2021-07-01 11:00:03,2021-07-01 11:14:34,N,1.0,74,236,1.0,2.61,11.5,0.0,0.5,0.0,0.0,,0.3,15.05,2.0,1.0,2.75
2.0,2021-07-01 10:22:29,2021-07-01 10:31:24,N,1.0,75,75,1.0,0.58,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2021-07-01 10:37:04,2021-07-01 10:55:08,N,1.0,236,138,1.0,8.56,25.0,0.0,0.5,0.0,6.55,,0.3,32.35,2.0,1.0,0.0
2.0,2021-07-01 10:49:13,2021-07-01 10:58:26,N,1.0,75,75,2.0,1.14,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2021-07-01 10:05:45,2021-07-01 10:09:10,N,1.0,166,151,1.0,0.64,4.5,0.0,0.5,1.06,0.0,,0.3,6.36,1.0,1.0,0.0
2.0,2021-07-01 10:21:08,2021-07-01 10:32:46,N,1.0,166,236,1.0,2.43,10.5,0.0,0.5,0.0,0.0,,0.3,14.05,2.0,1.0,2.75
2.0,2021-07-01 10:06:08,2021-07-01 10:43:48,N,1.0,75,244,1.0,5.1,24.5,0.0,0.5,0.0,0.0,,0.3,25.3,1.0,1.0,0.0
2.0,2021-07-01 10:51:13,2021-07-01 10:58:41,N,1.0,41,236,1.0,1.62,7.5,0.0,0.5,0.0,0.0,,0.3,11.05,2.0,1.0,2.75
2.0,2021-07-01 10:43:59,2021-07-01 10:50:51,N,1.0,42,42,1.0,0.43,5.5,0.0,0.5,1.89,0.0,,0.3,8.19,1.0,1.0,0.0
